method,framework,ld_mean,ld_std,fp_mean,fp_std,fn_mean,fn_std,compliance_pct,enforcement
PPO-GOMDP,GOMDP,15.1,1.1,6.0,1.1,2.1,0.9,100.0,Crypto
Greedy-GOMDP,GOMDP,18.3,1.4,6.1,1.3,2.3,1.0,100.0,Crypto
Central+Sig,GOMDP,15.0,1.1,6.0,1.2,,,100.0,Sig. only
Shield-PPO,Logical,15.2,1.2,6.2,1.3,,,100.0,Logical
SafeLayer,Learned,14.9,1.1,7.0,1.6,,,98.4,Learned
PPO-CMDP,CMDP,14.8,1.0,8.3,2.4,2.6,1.0,92.8,Lagrangian
WCSAC,CMDP,14.6,1.2,9.4,2.0,3.8,1.4,90.6,Lagrangian
Adaptive AI,None,16.2,1.2,22.4,2.1,0.9,0.5,0.0,None
Static,None,41.5,3.1,15.3,2.4,1.8,0.8,0.0,None
